Task ID,Task Link,Task Name,Task Content,Status,Date Created,Date Created Text,Due Date,Due Date Text,Start Date,Start Date Text,Parent ID,Subtasks IDs,Attachments,Assignees,Tags,Priority,List Name,Folder Name/Path,Space Name,Time Estimated,Time Estimated Text,Checklists,Comments,Assigned Comments,Time Spent,Time Spent Text,Rolled Up Time,Rolled Up Time Text,Home Location ID,Home Location,Other Location IDs,Other Locations
86exfzp06,https://app.clickup.com/t/86exfzp06,"CL-PROTO-001-initialize-unity-project-repository","",complete,1777893309025,"5/4/2026, 2:15:09 PM GMT+3",,"",,"",null,"","[]","[]","[]",null,"TaskDB","","Leadership","","","{}","[]","0", "",,NaN,,"901817872231","Leadership > TaskDB","",""
86exfzpet,https://app.clickup.com/t/86exfzpet,"СL-PROTO-002_create-arh","",to do,1777893363566,"5/4/2026, 2:16:03 PM GMT+3",,"",,"",null,"","[]","[]","[]",null,"TaskDB","","Leadership","","","{}","[]","0", "",,NaN,,"901817872231","Leadership > TaskDB","",""
86exfzpwp,https://app.clickup.com/t/86exfzpwp,"СL-PROTO-004.01_create-UI-for-interaction","",to do,1777893430805,"5/4/2026, 2:17:10 PM GMT+3",,"",,"",null,"","[]","[]","[]",null,"TaskDB","","Leadership","","","{}","[]","0", "",,NaN,,"901817872231","Leadership > TaskDB","",""
86exfzpr7,https://app.clickup.com/t/86exfzpr7,"CL-PROTO-004_implement-interaction-system","",to do,1777893411726,"5/4/2026, 2:16:51 PM GMT+3",,"",,"",null,"","[]","[]","[]",null,"TaskDB","","Leadership","","","{}","[]","0", "",,NaN,,"901817872231","Leadership > TaskDB","",""
86exfzphu,https://app.clickup.com/t/86exfzphu,"CL-PROTO-003_management-system","",to do,1777893378665,"5/4/2026, 2:16:18 PM GMT+3",,"",,"",null,"","[]","[]","[]",null,"TaskDB","","Leadership","","","{}","[]","0", "",,NaN,,"901817872231","Leadership > TaskDB","",""
86exfzpzg,https://app.clickup.com/t/86exfzpzg,"CL-PROTO-005_mini-game-1","",to do,1777893446014,"5/4/2026, 2:17:26 PM GMT+3",,"",,"",null,"","[]","[]","[]",null,"TaskDB","","Leadership","","","{}","[]","0", "",,NaN,,"901817872231","Leadership > TaskDB","",""
86exfzq17,https://app.clickup.com/t/86exfzq17,"CL-PROTO-006_create-grey-box","",to do,1777893456768,"5/4/2026, 2:17:36 PM GMT+3",,"",,"",null,"","[]","[]","[]",null,"TaskDB","","Leadership","","","{}","[]","0", "",,NaN,,"901817872231","Leadership > TaskDB","",""
86exfzq32,https://app.clickup.com/t/86exfzq32,"CL-PROTO-007_create-camera","",to do,1777893467410,"5/4/2026, 2:17:47 PM GMT+3",,"",,"",null,"","[]","[]","[]",null,"TaskDB","","Leadership","","","{}","[]","0", "",,NaN,,"901817872231","Leadership > TaskDB","",""
86exfzq50,https://app.clickup.com/t/86exfzq50,"CL-PROTO-008_cистема диалогов","",to do,1777893478503,"5/4/2026, 2:17:58 PM GMT+3",,"",,"",null,"","[]","[]","[]",null,"TaskDB","","Leadership","","","{}","[]","0", "",,NaN,,"901817872231","Leadership > TaskDB","",""
86exfzyah,https://app.clickup.com/t/86exfzyah,"CL-PROTO-009_JRGP-System","",to do,1777894817490,"5/4/2026, 2:40:17 PM GMT+3",,"",,"",null,"","[]","[]","[]",null,"TaskDB","","Leadership","","","{}","[]","0", "",,NaN,,"901817872231","Leadership > TaskDB","",""
86exg0292,https://app.clickup.com/t/86exg0292,"CL-PROTO-011_interactive-doors-(prototype)","",to do,1777895571312,"5/4/2026, 2:52:51 PM GMT+3",,"",,"",null,"","[]","[]","[]",null,"TaskDB","","Leadership","","","{}","[]","0", "",,NaN,,"901817872231","Leadership > TaskDB","",""
86exg05ty,https://app.clickup.com/t/86exg05ty,"CL-PROTO-012_Mechanics-of-falling","",to do,1777896055625,"5/4/2026, 3:00:55 PM GMT+3",,"",,"",null,"","[]","[]","[]",null,"TaskDB","","Leadership","","","{}","[]","0", "",,NaN,,"901817872231","Leadership > TaskDB","",""
86exg05dm,https://app.clickup.com/t/86exg05dm,"CL-PROTO-010_mini-game-2","",to do,1777896026585,"5/4/2026, 3:00:26 PM GMT+3",,"",,"",null,"","[]","[]","[]",null,"TaskDB","","Leadership","","","{}","[]","0", "",,NaN,,"901817872231","Leadership > TaskDB","",""
86exh9dz5,https://app.clickup.com/t/86exh9dz5,"CL-PROTO-014-Bootstrap","",to do,1778152218082,"5/7/2026, 2:10:18 PM GMT+3",,"",,"",null,"","[]","[]","[]",null,"TaskDB","","Leadership","","","{}","[]","0", "",,NaN,,"901817872231","Leadership > TaskDB","",""
86exh9dpc,https://app.clickup.com/t/86exh9dpc,"CL-PROTO-013_Create-Main-Menu-Ui","",to do,1778152192590,"5/7/2026, 2:09:52 PM GMT+3",,"",,"",null,"","[]","[]","[]",null,"TaskDB","","Leadership","","","{}","[]","0", "",,NaN,,"901817872231","Leadership > TaskDB","",""
86ex85bh5,https://app.clickup.com/t/86ex85bh5,"Создать GitHub","Создать профиль чайнсав\nСоздать реп проекта(приватный)\nСкинуть лидам инвайты",complete,1776089865637,"4/13/2026, 5:17:45 PM GMT+3",,"",,"",null,"","[]","[Dima Kovalenko]","[]",1,"General tasks","","Leadership","","","{}","[]","0", "",,NaN,,"901817341152","Leadership > General tasks","",""
86exfmppx,https://app.clickup.com/t/86exfmppx,"Границы вертикального среза","Определить контрольные точки вертикального среза, а также его траекторию",complete,1777816545980,"5/3/2026, 4:55:45 PM GMT+3",1777928400000,"5/5/2026, 12:00:00 AM GMT+3",1777842000000,"5/4/2026, 12:00:00 AM GMT+3",null,"","[]","[Dima Kovalenko]","[gd]",1,"General tasks","","Leadership","","","{}","[]","0", "",,NaN,,"901817341152","Leadership > General tasks","",""
